cantidad_exclamaciones;cantidad_interrogaciones;cantidad_urls;javascript_embebido;dominio_remitente;dominio_respuesta;cantidad_dominios_urls;ip_en_url;adjuntos_ejecutables;adjuntos_sospechosos;cantidad_destinatarios;idioma_diferente_usuario;lenguaje_imperativo;uso_acortadores;clase
5;0;7;0;cheapoffers.ru;company.com;2;0;0;0;1;1;0;0;1
3;1;3;0;scammail.xyz;company.com;3;0;0;1;8;0;0;0;1
4;0;4;0;winfree.cn;company.com;2;0;0;0;8;1;0;0;1
2;1;2;1;company.com;scammail.xyz;1;0;0;1;4;0;0;0;1
0;1;1;1;company.com;company.com;2;1;0;0;3;1;0;0;1
2;0;6;0;company.com;yahoo.com;2;0;0;0;6;1;1;1;1
3;1;2;0;gmail.com;yahoo.com;3;0;0;0;9;0;0;0;0
0;0;7;0;winfree.cn;clickme.biz;3;0;0;0;4;1;0;0;1
1;1;5;0;cheapoffers.ru;gmail.com;2;0;1;1;8;1;0;1;1
1;2;3;0;clickme.biz;gmail.com;4;0;1;1;1;0;1;0;1
1;0;1;0;clickme.biz;clickme.biz;2;0;0;0;2;1;0;0;0
0;3;0;0;clickme.biz;company.com;3;0;0;0;4;1;0;0;0
2;0;6;0;company.com;yahoo.com;3;0;0;0;7;1;0;0;1
1;2;6;0;scammail.xyz;scammail.xyz;1;0;0;0;9;1;0;0;1
0;2;1;0;company.com;cheapoffers.ru;3;0;0;0;7;0;0;0;0
0;0;1;0;cheapoffers.ru;outlook.com;1;0;0;0;9;1;0;0;0
3;2;4;0;company.com;outlook.com;1;0;0;0;3;1;0;1;1
1;1;1;0;outlook.com;yahoo.com;2;0;0;0;8;1;0;0;0
2;0;2;0;gmail.com;gmail.com;1;0;0;0;1;1;0;0;0
1;0;1;0;clickme.biz;yahoo.com;1;0;0;0;6;0;0;0;0
2;2;5;1;outlook.com;gmail.com;3;0;0;1;4;1;1;0;1
3;1;0;1;clickme.biz;scammail.xyz;4;0;0;0;5;0;1;0;1
2;2;3;0;company.com;outlook.com;2;0;0;0;9;1;0;0;1
1;0;2;0;gmail.com;cheapoffers.ru;2;0;0;1;9;1;0;0;1
1;2;3;0;company.com;company.com;1;0;0;1;5;1;0;0;1
1;3;6;0;gmail.com;yahoo.com;1;0;0;0;3;1;1;0;1
5;3;3;0;outlook.com;yahoo.com;2;0;0;0;7;1;0;0;1
1;0;3;1;gmail.com;outlook.com;1;0;1;0;3;1;0;1;1
1;1;4;0;company.com;company.com;2;0;0;1;6;1;1;0;1
2;2;3;0;outlook.com;yahoo.com;4;0;0;0;3;1;1;0;1
2;1;0;0;yahoo.com;gmail.com;4;0;0;0;7;1;0;0;0
1;2;2;0;winfree.cn;yahoo.com;1;0;0;1;5;1;0;0;1
4;2;3;0;winfree.cn;winfree.cn;2;0;0;0;2;1;0;0;0
2;1;0;0;outlook.com;cheapoffers.ru;3;0;0;0;3;1;1;0;0
2;0;3;0;outlook.com;outlook.com;3;0;0;0;7;1;0;0;0
1;3;5;0;outlook.com;scammail.xyz;4;0;0;0;9;1;0;1;1
3;0;6;0;yahoo.com;gmail.com;3;0;0;1;5;0;0;0;1
4;1;2;0;outlook.com;company.com;2;0;1;0;7;1;0;0;1
2;0;7;0;cheapoffers.ru;gmail.com;2;0;0;0;1;0;0;0;1
